title,url,price_usd,price_vnd_text,size_m2,price_per_m2_usd,bedrooms,property_type,district,listed_text,listed_approx_date,latitude,longitude,agent,contact,description,scraped_at,source
"Land for sale in Hoa Hai, Da Nang",https://www.dotproperty.com.vn/en/land-for-sale-in-hoa-quy-da-nang_4521143,65384.62,₫ 1.7 billion,104.0,628.7,,Land,Ngu Hanh Son District,,,,,,,"‹ › 1 /1 Land for sale in Hoa Hai, Da Nang Ngu Hanh Son District, Da Nang ₫ 1.7 billion 104 m 2 Land for sale located at Hoa Hai, Ngu Hanh Son District. Helen Đoàn Call",2026-09-01T09:17:11.304351,dotproperty
"Land for sale in Hoa Quy, Da Nang",https://www.dotproperty.com.vn/en/land-for-sale-in-hoa-hai-da-nang_4527494,69230.77,₫ 1.8 billion,100.0,692.31,,Land,Ngu Hanh Son District,,,,,,,"‹ › 1 /1 Land for sale in Hoa Quy, Da Nang Ngu Hanh Son District, Da Nang ₫ 1.8 billion 100 m 2 Land for sale located at Hoa Quy, Ngu Hanh Son District. Helen Đoàn Call",2026-09-01T09:17:11.304887,dotproperty
"Land for sale in Hoa Hai, Da Nang",https://www.dotproperty.com.vn/en/land-for-sale-in-hoa-hai-da-nang_4307797,161538.46,₫ 4.2 billion,100.0,1615.38,,Land,Ngu Hanh Son District,,,,,,,"‹ › 1 /8 Land for sale in Hoa Hai, Da Nang Ngu Hanh Son District, Da Nang ₫ 4.2 billion 100 m 2 Land for sale frontage on Phan Tong street, Ngu Hanh Son, Da Nang Area: 100m2, northwest, long-term ownership, road width 7.5m100m from Truong Sa street, 150m to the sea, 400m2 from the ancient riverNear non-tourist resorts, resorts, cocobay ...* MAPS location (copy paste the browser): https://goo.gl/maps/F5CiQ9takqaX1----* Alico Real Estate specializes in receiving:- Receive housing deposit;- Specialized... Địa ốc Alico Call",2026-09-01T09:17:14.579882,dotproperty
"Land for sale in Hoa Hai, Da Nang",https://www.dotproperty.com.vn/en/land-for-sale-in-hoa-hai-da-nang_3056446,66923.08,₫ 1.74 billion,144.0,464.74,,Land,Ngu Hanh Son District,,,,,,,"‹ › 1 /4 Land for sale in Hoa Hai, Da Nang Ngu Hanh Son District, Da Nang ₫ 1.74 billion 144 m 2 Land for sale located at Hoa Hai, Ngu Hanh Son District. Linh Call",2026-09-01T09:17:14.593256,dotproperty
"Land for sale in Hoa Hai, Da Nang",https://www.dotproperty.com.vn/en/land-for-sale-in-hoa-hai-da-nang_5038247,134615.38,₫ 3.5 billion,180.0,747.86,,Land,Ngu Hanh Son District,,,,,,,"‹ › 1 /5 Land for sale in Hoa Hai, Da Nang Ngu Hanh Son District, Da Nang ₫ 3.5 billion 180 m 2 Land for sale located at Hoa Hai, Ngu Hanh Son District. trần mỹ linh Call",2026-09-01T09:17:14.592934,dotproperty
"Land for sale in Hoa Quy, Da Nang",https://www.dotproperty.com.vn/en/land-for-sale-in-hoa-quy-da-nang_4647529,94230.77,₫ 2.45 billion,104.0,906.07,,Land,Ngu Hanh Son District,,,,,,,"‹ › 1 /1 Land for sale in Hoa Quy, Da Nang Ngu Hanh Son District, Da Nang ₫ 2.45 billion 104 m 2 Land for sale located at Hoa Quy, Ngu Hanh Son District. Helen Đoàn Call",2026-09-01T09:17:14.645099,dotproperty
"Land for sale in Hoa Hai, Da Nang",https://www.dotproperty.com.vn/en/land-for-sale-in-hoa-hai-da-nang_7306964,145384.62,₫ 3.78 billion,108.0,1346.15,,Land,Ngu Hanh Son District,,,,,,,"‹ › 1 /5 Land for sale in Hoa Hai, Da Nang Ngu Hanh Son District, Da Nang ₫ 3.78 billion 108 m 2 Land for sale located at Hoa Hai, Ngu Hanh Son District. trần mỹ linh Call",2026-09-01T09:17:14.645652,dotproperty
"Land for sale in Hoa Hai, Da Nang",https://www.dotproperty.com.vn/en/land-for-sale-in-hoa-hai-da-nang_3051856,65384.62,₫ 1.7 billion,144.0,454.06,,Land,Ngu Hanh Son District,,,,,,,"‹ › 1 /3 Land for sale in Hoa Hai, Da Nang Ngu Hanh Son District, Da Nang ₫ 1.7 billion 144 m 2 Land for sale located at Hoa Hai, Ngu Hanh Son District. Linh Call",2026-09-01T09:17:14.646264,dotproperty
"Land for sale in Hoa Hai, Da Nang",https://www.dotproperty.com.vn/en/land-for-sale-in-hoa-hai-da-nang_4892628,86538.46,₫ 2.25 billion,90.0,961.54,,Land,Ngu Hanh Son District,,,,,,,"‹ › 1 /4 Land for sale in Hoa Hai, Da Nang Ngu Hanh Son District, Da Nang ₫ 2.25 billion 90 m 2 Land for sale located at Hoa Hai, Ngu Hanh Son District. trần mỹ linh Call",2026-09-01T09:17:14.646564,dotproperty
"Land for sale in Hoa Hai, Da Nang",https://www.dotproperty.com.vn/en/land-for-sale-in-hoa-hai-da-nang_4936708,85769.23,₫ 2.23 billion,90.0,952.99,,Land,Ngu Hanh Son District,,,,,,,"‹ › 1 /4 Land for sale in Hoa Hai, Da Nang Ngu Hanh Son District, Da Nang ₫ 2.23 billion 90 m 2 Land for sale located at Hoa Hai, Ngu Hanh Son District. trần mỹ linh Call",2026-09-01T09:17:14.646903,dotproperty
